label,n,win_rate,mean_net_pnl,median_net_pnl,total_net_pnl,mean_gross_pnl,std_net_pnl,sharpe_per_trade,max_win,max_loss,profit_factor,bar_label
NFP|hold=1|z>=0.0,28,0.32142857142857145,-707.5684640066964,-698.98779296875,-19811.9169921875,-683.5684640066964,2196.908474798553,-5.112776101841024,5776.0,-4284.009765625,0.42316488217267156,1h
NFP|hold=1|z>=0.5,18,0.3888888888888889,-381.77587890625,-633.99755859375,-6871.9658203125,-357.77587890625,2530.970124820398,-2.394538020603601,5776.0,-4284.009765625,0.6661492541901942,1h
NFP|hold=1|z>=1.0,15,0.4,-117.33170572916667,-574.0,-1759.9755859375,-93.33170572916667,2626.034375834861,-0.709275972437405,5776.0,-4284.009765625,0.8839521790627056,1h
NFP|hold=2|z>=0.0,28,0.39285714285714285,-601.496337890625,-763.990234375,-16841.8974609375,-577.496337890625,2826.4159218410896,-3.3782920176972002,7136.009765625,-5303.98046875,0.5656830678377288,1h
NFP|hold=2|z>=0.5,18,0.3888888888888889,-333.99755859375,-549.0,-6011.9560546875,-309.99755859375,3070.2956714834127,-1.7268847819757491,7136.009765625,-5303.98046875,0.7387690618708438,1h
NFP|hold=2|z>=1.0,15,0.4,-29.997721354166668,-124.0,-449.9658203125,-5.997721354166667,3217.9635510192998,-0.14798149701216562,7136.009765625,-5303.98046875,0.9740143746164319,1h
NFP|hold=3|z>=0.0,28,0.42857142857142855,-649.3557477678571,-493.9951171875,-18181.9609375,-625.3557477678571,2823.144103921288,-3.651320140444455,6265.990234375,-4924.0,0.5405575215772898,1h
NFP|hold=3|z>=0.5,18,0.3888888888888889,-525.6655815972222,-493.9951171875,-9461.98046875,-501.66558159722223,3095.2023474705566,-2.6960054540452516,6265.990234375,-4924.0,0.6335968563594796,1h
NFP|hold=3|z>=1.0,15,0.4666666666666667,-149.99934895833334,-113.990234375,-2249.990234375,-125.99934895833333,3209.134212551245,-0.7419963414677688,6265.990234375,-4924.0,0.8791105858555204,1h
NFP|hold=4|z>=0.0,28,0.35714285714285715,-626.8547014508929,-403.99267578125,-17551.931640625,-602.8547014508929,3072.599722657377,-3.238628779364062,7685.9609375,-5274.0,0.5759574577215629,1h
NFP|hold=4|z>=0.5,18,0.3333333333333333,-412.330078125,-403.99267578125,-7421.94140625,-388.330078125,3330.194157127788,-1.965512147312417,7685.9609375,-4674.0,0.7114093154416811,1h
NFP|hold=4|z>=1.0,15,0.4,-19.99609375,-113.990234375,-299.94140625,4.00390625,3478.8469296851417,-0.0912452182999978,7685.9609375,-4674.0,0.9838705476220585,1h
UNRATE|hold=1|z>=0.0,27,0.6296296296296297,138.5904224537037,476.0,3741.94140625,162.5904224537037,2338.9163552154055,0.9406299402462708,5776.0,-4284.009765625,1.1698568866048709,1h
UNRATE|hold=1|z>=0.5,16,0.6875,371.623779296875,391.00244140625,5945.98046875,395.623779296875,2075.760340539239,2.842016244636596,5776.0,-2713.990234375,1.6842348118172328,1h
