ts,funding_rate
2026-04-01 04:00:00+00:00,-0.000179
2026-04-01 08:00:00+00:00,-0.000142
2026-04-01 12:00:00+00:00,-8.2e-05
2026-04-01 16:00:00+00:00,-0.000167
2026-04-01 20:00:00+00:00,-0.000163
2026-04-02 00:00:00+00:00,-0.000144
2026-04-02 04:00:00+00:00,2.8e-05
2026-04-02 08:00:00+00:00,1e-06
2026-04-02 12:00:00+00:00,-9.7e-05
2026-04-02 16:00:00+00:00,-0.000215
2026-04-02 20:00:00+00:00,-0.000135
2026-04-03 00:00:00+00:00,-0.000207
2026-04-03 04:00:00+00:00,-0.000148
2026-04-03 08:00:00+00:00,-0.000192
2026-04-03 12:00:00+00:00,-8.1e-05
2026-04-03 16:00:00+00:00,-0.000172
2026-04-03 20:00:00+00:00,-9.8e-05
2026-04-04 00:00:00+00:00,5e-05
2026-04-04 04:00:00+00:00,5e-05
2026-04-04 08:00:00+00:00,-3.7e-05
2026-04-04 12:00:00+00:00,1e-05
2026-04-04 16:00:00+00:00,-5.1e-05
2026-04-04 20:00:00+00:00,-4e-05
2026-04-05 00:00:00+00:00,-0.000154
2026-04-05 04:00:00+00:00,-0.000209
2026-04-05 08:00:00+00:00,-0.000248
2026-04-05 12:00:00+00:00,-0.000577
2026-04-05 16:00:00+00:00,-0.000764
2026-04-05 20:00:00+00:00,-0.001525
2026-04-06 00:00:00+00:00,-0.000398
2026-04-06 04:00:00+00:00,5e-05
2026-04-06 08:00:00+00:00,5e-05
2026-04-06 12:00:00+00:00,-4.7e-05
2026-04-06 16:00:00+00:00,5e-05
2026-04-06 20:00:00+00:00,5e-05
2026-04-07 00:00:00+00:00,5e-05
2026-04-07 04:00:00+00:00,5e-05
2026-04-07 08:00:00+00:00,5e-05
2026-04-07 12:00:00+00:00,5e-05
2026-04-07 16:00:00+00:00,5e-05
2026-04-07 20:00:00+00:00,-1e-06
2026-04-08 00:00:00+00:00,4e-05
2026-04-08 04:00:00+00:00,5e-05
2026-04-08 08:00:00+00:00,5e-05
2026-04-08 12:00:00+00:00,5e-05
2026-04-08 16:00:00+00:00,5e-05
2026-04-08 20:00:00+00:00,5e-05
2026-04-09 00:00:00+00:00,5e-05
2026-04-09 04:00:00+00:00,5e-05
2026-04-09 08:00:00+00:00,5e-05
2026-04-09 12:00:00+00:00,5e-05
2026-04-09 16:00:00+00:00,5e-05
2026-04-09 20:00:00+00:00,5e-05
2026-04-10 00:00:00+00:00,5e-05
2026-04-10 04:00:00+00:00,5e-05
2026-04-10 08:00:00+00:00,5e-05
2026-04-10 12:00:00+00:00,5e-05
2026-04-10 16:00:00+00:00,5e-05
2026-04-10 20:00:00+00:00,5e-05
2026-04-11 00:00:00+00:00,5e-05
2026-04-11 04:00:00+00:00,5e-05
2026-04-11 08:00:00+00:00,5e-05
2026-04-11 12:00:00+00:00,5e-05
2026-04-11 16:00:00+00:00,5e-05
2026-04-11 20:00:00+00:00,0.00018
2026-04-12 00:00:00+00:00,5e-05
2026-04-12 04:00:00+00:00,-4.7e-05
2026-04-12 08:00:00+00:00,2.9e-05
2026-04-12 12:00:00+00:00,-0.000104
2026-04-12 16:00:00+00:00,-0.000689
2026-04-12 20:00:00+00:00,-0.000834
2026-04-13 00:00:00+00:00,-0.000458
2026-04-13 04:00:00+00:00,5e-05
2026-04-13 08:00:00+00:00,5e-05
2026-04-13 12:00:00+00:00,5e-05
2026-04-13 16:00:00+00:00,5e-05
2026-04-13 20:00:00+00:00,5e-05
2026-04-14 00:00:00+00:00,5e-05
2026-04-14 04:00:00+00:00,5e-05
2026-04-14 08:00:00+00:00,5e-05
2026-04-14 12:00:00+00:00,5e-05
2026-04-14 16:00:00+00:00,5e-05
