report_date,m_money_positions_long_all,m_money_positions_short_all,open_interest_all,mm_net_long
2022-09-13,80300,98637,463674,-18337
2022-09-20,78544,115239,469395,-36695
2022-09-27,74171,117265,457061,-43094
2022-10-04,82806,89681,437065,-6875
2022-10-11,78365,83945,431395,-5580
2022-10-18,73344,99042,434701,-25698
2022-10-25,72016,110804,456072,-38788
2022-11-01,78213,119614,467276,-41401
2022-11-08,88059,104405,488471,-16346
2022-11-15,95065,69608,495171,25457
2022-11-22,92161,72730,449542,19431
2022-11-29,88032,73312,433661,14720
2022-12-06,93629,70142,422100,23487
2022-12-13,103737,66288,437040,37449
2022-12-20,104813,65718,436653,39095
2022-12-27,106983,56106,440040,50877
2023-01-03,109140,54559,449393,54581
2023-01-10,116604,54795,481519,61809
2023-01-17,124222,54845,491818,69377
2023-01-24,131501,51622,499927,79879
2023-01-31,138125,53678,471642,84447
2023-02-07,115521,55945,439755,59576
2023-02-14,106106,64933,426116,41173
2023-02-21,104710,68004,422648,36706
2023-02-28,99425,72850,426890,26575
2023-03-07,103439,89040,458474,14399
2023-03-14,118560,58839,459064,59721
2023-03-21,125090,43861,469874,81229
2023-03-28,130530,31370,478611,99160
2023-04-04,142348,32217,476592,110131
2023-04-11,135015,30409,476567,104606
2023-04-18,137170,34474,482254,102696
2023-04-25,135979,33176,473209,102803
2023-05-02,143191,29401,493804,113790
2023-05-09,143463,32477,518951,110986
2023-05-16,139786,35803,521832,103983
2023-05-23,128550,35411,479080,93139
2023-05-30,122904,36201,449515,86703
2023-06-06,120985,27557,436301,93428
2023-06-13,110512,35869,432898,74643
2023-06-20,110314,34275,438037,76039
2023-06-27,108209,38534,431861,69675
2023-07-03,123017,39869,448063,83148
2023-07-11,124394,41951,483170,82443
2023-07-18,147644,32326,482104,115318
2023-07-25,132603,37316,476176,95287
2023-08-01,123802,43793,439383,80009
2023-08-08,114585,55979,427759,58606
2023-08-15,113146,83610,433611,29536
2023-08-22,105085,95976,430239,9109
2023-08-29,120609,81367,442806,39242
2023-09-05,120222,69857,438672,50365
2023-09-12,117737,83166,441221,34571
2023-09-19,121172,73782,438078,47390
2023-09-26,114668,91230,435620,23438
2023-10-03,100500,108061,431226,-7561
2023-10-10,93934,120701,436499,-26767
2023-10-17,104708,89605,439581,15103
2023-10-24,122456,66708,463476,55748
2023-10-31,140111,65271,475808,74840
2023-11-07,140609,62374,484347,78235
2023-11-14,132924,68609,486634,64315
2023-11-21,144381,65246,508429,79135
2023-11-28,169695,54802,505658,114893
2023-12-05,159907,50520,487469,109387
2023-12-12,149634,54106,469939,95528
2023-12-19,155697,47421,481203,108276
2023-12-26,152801,46347,491343,106454
2024-01-02,154384,45235,500364,109149
2024-01-09,134333,45874,489849,88459
2024-01-16,130931,47702,489334,83229
2024-01-23,111298,50265,465872,61033
2024-01-30,108093,52069,430328,56024
2024-02-06,114316,46247,419121,68069
2024-02-13,100642,66466,420812,34176
2024-02-20,98840,48917,407063,49923
2024-02-27,103885,47732,411195,56153
2024-03-05,145106,35343,471616,109763
2024-03-12,173994,32911,516057,141083
2024-03-19,172588,29692,535047,142896
2024-03-26,163006,27211,503642,135795
2024-04-02,173073,25993,500045,147080
2024-04-09,174617,32885,505214,141732
2024-04-16,169910,35174,517193,134736
2024-04-23,176400,34261,516249,142139
2024-04-30,171853,36826,519791,135027
2024-05-07,164780,38681,529835,126099
2024-05-14,171868,41433,522952,130435
2024-05-21,190605,42082,530591,148523
2024-05-28,174444,25616,485430,148828
2024-06-04,172560,20261,447488,152299
2024-06-11,168424,15459,436857,152965
2024-06-18,177639,17018,444345,160621
2024-06-25,174756,16554,452190,158202
2024-07-02,167688,16873,454730,150815
2024-07-09,181982,24515,516324,157467
2024-07-16,216502,31970,579862,184532
2024-07-23,197802,34942,572306,162860
2024-07-30,185586,33222,510914,152364
2024-08-06,180303,29517,480645,150786
2024-08-13,203844,25929,505872,177915
2024-08-20,222142,28837,532867,193305
2024-08-27,217976,17685,521759,200291
2024-09-03,212086,19996,511136,192090
2024-09-10,213645,23190,511501,190455
2024-09-17,241844,25489,537627,216355
2024-09-24,256435,37406,564640,219029
2024-10-01,247867,33405,533107,214462
2024-10-08,227596,33537,520316,194059
2024-10-15,233871,34450,541232,199421
2024-10-22,242427,37267,573760,205160
2024-10-29,234856,39683,579468,195173
2024-11-05,219687,36684,558034,183003
2024-11-12,203661,38365,535981,165296
2024-11-19,193355,38181,502952,155174
2024-11-26,203596,24306,472660,179290
2024-12-03,203580,22845,462040,180735
2024-12-10,218482,22404,483346,196078
2024-12-17,201880,18378,466571,183502
2024-12-24,186099,20602,454646,165497
2024-12-31,182128,15959,458584,166169
2025-01-07,191873,14232,477043,177641
2025-01-14,206968,11346,526467,195622
2025-01-21,226964,11095,571387,215869
2025-01-28,227871,17331,577505,210540
2025-02-04,240485,30952,542004,209533
2025-02-11,229071,34268,528719,194803
2025-02-18,222538,37209,522330,185329
2025-02-25,212694,32882,512179,179812
2025-03-04,204965,38307,489270,166658
2025-03-11,204907,37331,511276,167576
2025-03-18,220879,37045,533566,183834
2025-03-25,213505,38773,511482,174732
2025-04-01,204833,62834,498746,141999
2025-04-08,175393,44407,445468,130986
2025-04-15,168400,43546,456628,124854
2025-04-22,166360,45458,465351,120902
2025-04-29,150715,44820,451868,105895
2025-05-06,144383,42292,452414,102091
2025-05-13,144410,43183,440842,101227
2025-05-20,149149,41520,448000,107629
2025-05-27,147502,36686,437538,110816
2025-06-03,159966,36384,415941,123582
2025-06-10,160680,36589,417143,124091
2025-06-17,167646,37135,441214,130511
2025-06-24,163829,38701,434958,125128
2025-07-01,165086,34726,437662,130360
2025-07-08,164685,35743,443144,128942
2025-07-15,172657,35930,448531,136727
2025-07-22,194753,34819,489423,159934
2025-07-29,170918,36662,445259,134256
2025-08-05,186304,32317,449647,153987
2025-08-12,182337,34050,446152,148287
