meeting_end_date,weekday,year
2010-01-27,Wednesday,2010
2010-03-16,Tuesday,2010
2010-04-28,Wednesday,2010
2010-06-23,Wednesday,2010
2010-08-10,Tuesday,2010
2010-09-21,Tuesday,2010
2010-11-03,Wednesday,2010
2010-12-14,Tuesday,2010
2011-01-26,Wednesday,2011
2011-03-15,Tuesday,2011
2011-04-27,Wednesday,2011
2011-06-22,Wednesday,2011
2011-08-09,Tuesday,2011
2011-09-21,Wednesday,2011
2011-11-02,Wednesday,2011
2011-12-13,Tuesday,2011
2012-01-25,Wednesday,2012
2012-03-13,Tuesday,2012
2012-04-25,Wednesday,2012
2012-06-20,Wednesday,2012
2012-08-01,Wednesday,2012
2012-09-13,Thursday,2012
2012-10-24,Wednesday,2012
2012-12-12,Wednesday,2012
2013-01-30,Wednesday,2013
2013-03-20,Wednesday,2013
2013-05-01,Wednesday,2013
2013-06-19,Wednesday,2013
2013-07-31,Wednesday,2013
2013-09-18,Wednesday,2013
2013-10-30,Wednesday,2013
2013-12-18,Wednesday,2013
2014-01-29,Wednesday,2014
2014-03-19,Wednesday,2014
2014-04-30,Wednesday,2014
2014-06-18,Wednesday,2014
2014-07-30,Wednesday,2014
2014-09-17,Wednesday,2014
2014-10-29,Wednesday,2014
2014-12-17,Wednesday,2014
2015-01-28,Wednesday,2015
2015-03-18,Wednesday,2015
2015-04-29,Wednesday,2015
2015-06-17,Wednesday,2015
2015-07-29,Wednesday,2015
2015-09-17,Thursday,2015
2015-10-28,Wednesday,2015
2015-12-16,Wednesday,2015
2016-01-27,Wednesday,2016
2016-03-16,Wednesday,2016
2016-04-27,Wednesday,2016
2016-06-15,Wednesday,2016
2016-07-27,Wednesday,2016
2016-09-21,Wednesday,2016
2016-11-02,Wednesday,2016
2016-12-14,Wednesday,2016
2017-02-01,Wednesday,2017
2017-03-15,Wednesday,2017
2017-05-03,Wednesday,2017
2017-06-14,Wednesday,2017
2017-07-26,Wednesday,2017
2017-09-20,Wednesday,2017
2017-11-01,Wednesday,2017
2017-12-13,Wednesday,2017
2018-01-31,Wednesday,2018
2018-03-21,Wednesday,2018
2018-05-02,Wednesday,2018
2018-06-13,Wednesday,2018
2018-08-01,Wednesday,2018
2018-09-26,Wednesday,2018
2018-11-08,Thursday,2018
2018-12-19,Wednesday,2018
2019-01-30,Wednesday,2019
2019-03-20,Wednesday,2019
2019-05-01,Wednesday,2019
2019-06-19,Wednesday,2019
2019-07-31,Wednesday,2019
2019-09-18,Wednesday,2019
2019-10-30,Wednesday,2019
2019-12-11,Wednesday,2019
2020-01-29,Wednesday,2020
2020-03-03,Tuesday,2020
2020-03-15,Sunday,2020
2020-04-29,Wednesday,2020
2020-06-10,Wednesday,2020
2020-07-29,Wednesday,2020
2020-09-16,Wednesday,2020
2020-11-05,Thursday,2020
2020-12-16,Wednesday,2020
2021-01-27,Wednesday,2021
2021-03-17,Wednesday,2021
2021-04-28,Wednesday,2021
2021-06-16,Wednesday,2021
2021-07-28,Wednesday,2021
2021-09-22,Wednesday,2021
2021-11-03,Wednesday,2021
2021-12-15,Wednesday,2021
2022-01-26,Wednesday,2022
2022-03-16,Wednesday,2022
2022-05-04,Wednesday,2022
2022-06-15,Wednesday,2022
2022-07-27,Wednesday,2022
2022-09-21,Wednesday,2022
2022-11-02,Wednesday,2022
2022-12-14,Wednesday,2022
2023-02-01,Wednesday,2023
2023-03-22,Wednesday,2023
2023-05-03,Wednesday,2023
2023-06-14,Wednesday,2023
2023-07-26,Wednesday,2023
2023-09-20,Wednesday,2023
2023-11-01,Wednesday,2023
2023-12-13,Wednesday,2023
2024-01-31,Wednesday,2024
2024-03-20,Wednesday,2024
2024-05-01,Wednesday,2024
2024-06-12,Wednesday,2024
2024-07-31,Wednesday,2024
2024-09-18,Wednesday,2024
2024-11-07,Thursday,2024
2024-12-18,Wednesday,2024
2025-01-29,Wednesday,2025
2025-03-19,Wednesday,2025
2025-05-07,Wednesday,2025
2025-06-18,Wednesday,2025
2025-07-30,Wednesday,2025
2025-09-17,Wednesday,2025
2025-10-29,Wednesday,2025
2025-12-10,Wednesday,2025
2026-01-28,Wednesday,2026
2026-03-18,Wednesday,2026
2026-04-29,Wednesday,2026
2026-06-17,Wednesday,2026
2026-07-29,Wednesday,2026
2026-09-16,Wednesday,2026
2026-10-28,Wednesday,2026
2026-12-09,Wednesday,2026
