event_ts,event_type,logged_at,status,pre_close,ev_open,ev_high,ev_low,ev_close,ev_range,pre_atr,ema_slope,trend_dir,status_detail,direction,entry_ts,entry_price,exit_ts,exit_price,stop_price,target_price,exit_reason,gross_pnl,net_pnl,mfe_dollars,mae_dollars,what_if_opp_dir_pnl
2020-01-03 13:30:00+00:00,JOBS,2026-06-19 19:26:19.351965+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13 13:30:00+00:00,CPI,2026-06-19 19:26:19.352567+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-02-07 13:30:00+00:00,JOBS,2026-06-19 19:26:19.353150+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13 13:30:00+00:00,CPI,2026-06-19 19:26:19.353680+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06 13:30:00+00:00,JOBS,2026-06-19 19:26:19.354294+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12 12:30:00+00:00,CPI,2026-06-19 19:26:19.354806+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03 12:30:00+00:00,JOBS,2026-06-19 19:26:19.355360+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13 12:30:00+00:00,CPI,2026-06-19 19:26:19.355882+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01 12:30:00+00:00,JOBS,2026-06-19 19:26:19.356427+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-05-13 12:30:00+00:00,CPI,2026-06-19 19:26:19.356947+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-06-05 12:30:00+00:00,JOBS,2026-06-19 19:26:19.357496+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-06-11 12:30:00+00:00,CPI,2026-06-19 19:26:19.358021+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-07-03 12:30:00+00:00,JOBS,2026-06-19 19:26:19.358561+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-07-13 12:30:00+00:00,CPI,2026-06-19 19:26:19.359079+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-08-07 12:30:00+00:00,JOBS,2026-06-19 19:26:19.359630+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-08-13 12:30:00+00:00,CPI,2026-06-19 19:26:19.360141+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-09-04 12:30:00+00:00,JOBS,2026-06-19 19:26:19.360774+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11 12:30:00+00:00,CPI,2026-06-19 19:26:19.361303+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-10-02 12:30:00+00:00,JOBS,2026-06-19 19:26:19.361849+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2020-10-13 12:30:00+00:00,CPI,2026-06-19 19:26:19.362395+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
